Species,Temperature,Colony,Day,SamplingTimepoint,Cells.cm2,Chla.ugcm2
A. mill,Control_27,1,3,T0,3998045.235,1.896621306
A. mill,Control_27,2,3,T0,3351639.633,1.330110486
A. mill,Control_27,3,3,T0,1280667.145,1.432244305
A. mill,Control_27,4,3,T0,3657661.29,1.468181797
A. mill,Control_27,5,3,T0,2953871.587,1.622117804
A. mill,Control_27,1,6,T1,2301570.42,1.317494166
A. mill,Control_27,2,6,T1,3723390.101,1.919603905
A. mill,Control_27,3,6,T1,1994586.614,1.228805142
A. mill,Control_27,4,6,T1,3531190.306,1.511217319
A. mill,Control_27,5,6,T1,3651384.635,1.715856599
A. mill,Control_27,1,8,T2,2739163.79,1.244677522
A. mill,Control_27,2,8,T2,3167248.603,2.121953568
A. mill,Control_27,3,8,T2,3186958.189,1.144675309
A. mill,Control_27,4,8,T2,5179330.639,2.042581633
A. mill,Control_27,5,8,T2,3917735.043,1.942482564
A. mill,Control_27,1,10,T3,2719533.751,1.388084033
A. mill,Control_27,2,10,T3,2378284.9,1.798565862
A. mill,Control_27,3,10,T3,1380717.193,1.354275509
A. mill,Control_27,4,10,T3,3094983.553,1.276452449
A. mill,Control_27,5,10,T3,4773468.241,1.457567635
A. mill,Treatment_32,1,3,T0,1932273.263,1.826343314
A. mill,Treatment_32,2,3,T0,2961204.885,1.946961613
A. mill,Treatment_32,3,3,T0,2914912.333,1.215038682
A. mill,Treatment_32,4,3,T0,3246937.145,1.303244124
A. mill,Treatment_32,5,3,T0,5475740.132,1.538976014
A. mill,Treatment_32,1,6,T1,4785005.921,1.028512563
A. mill,Treatment_32,2,6,T1,2056107.955,1.232947114
A. mill,Treatment_32,3,6,T1,3451485.693,1.369884859
A. mill,Treatment_32,4,6,T1,1373706.98,0.778864889
A. mill,Treatment_32,5,6,T1,1148500.538,1.103890753
A. mill,Treatment_32,1,8,T2,2489597.204,1.096732857
A. mill,Treatment_32,2,8,T2,3477986.584,1.008068295
A. mill,Treatment_32,3,8,T2,1987328.843,0.594710234
A. mill,Treatment_32,4,8,T2,4718454.259,1.416527214
A. mill,Treatment_32,5,8,T2,1837485.79,1.39488643
A. mill,Treatment_32,1,10,T3,1269946.37,0.718935242
A. mill,Treatment_32,2,10,T3,2455054.274,0.950308222
A. mill,Treatment_32,3,10,T3,1655760.699,1.121481781
A. mill,Treatment_32,4,10,T3,1026518.019,0.733645604
A. mill,Treatment_32,5,10,T3,2284750.509,0.873034242
