ID,SampleID,Section,Treatment,Temperature,ActualExperimentalTemp,Timepoint,Day,Replicate,CellDensity_Cell.cm2,Chla.ug.cm2,dmdA_A1uL.16Scopies,16S_copies,DMSP_nmol.mm2,DMSO_nmol.mm2,Acrylate_nmol.mm2
1,Holobiont_C27_T0_1,Holobiont,Control_27,27,27,T0,1,1,1588078.384,3.32,0.11588676,411233.327,10.76746651,2.814143541,38.05036364
2,Holobiont_C27_T0_2,Holobiont,Control_27,27,27,T0,1,2,1529687.5,2.73,0.016858311,962496.7189,15.55570535,6.52143996,66.23916448
3,Holobiont_C27_T0_3,Holobiont,Control_27,27,27,T0,1,3,1481579.392,1.11,0.657450707,47380.4099,15.09301533,4.32572402,65.90851789
4,Holobiont_C27_T0_4,Holobiont,Control_27,27,27,T0,1,4,1166039.063,2.67,0,0,8.878144654,5.261792453,44.5625
5,Holobiont_C27_T0_5,Holobiont,Control_27,27,27,T0,1,5,797173.5669,1.43,0,31687.16805,4.478349398,5.066927711,84.87191844
6,Holobiont_C27_T1_1,Holobiont,Control_27,27,27,T1,4,1,1378426.535,2.62,0.004369369,595450.7976,14.34271063,5.514127407,48.23569807
7,Holobiont_C27_T1_2,Holobiont,Control_27,27,27,T1,4,2,1630285.904,1.84,0.077057492,489408.701,10.79892663,4.322255565,73.00461665
8,Holobiont_C27_T1_3,Holobiont,Control_27,27,27,T1,4,3,1347210.366,1.92,0,611886.441,9.277429562,5.3894678,57.83502236
9,Holobiont_C27_T1_4,Holobiont,Control_27,27,27,T1,4,4,1062463.493,1.44,0.068094984,881531.5111,16.75091779,5.440389749,78.09024952
10,Holobiont_C27_T1_5,Holobiont,Control_27,27,27,T1,4,5,1115826.854,2.06,0.074737943,1367523.83,21.84509916,4.313907173,63.78860759
11,Holobiont_C27_T2_1,Holobiont,Control_27,27,27,T2,8,1,883455.8824,2.24,0.031037876,701786.9838,12.03791917,6.590478934,70.5900258
12,Holobiont_C27_T2_2,Holobiont,Control_27,27,27,T2,8,2,790614.0734,4.65,0,767888.6221,18.10803398,5.338902913,67.00804369
13,Holobiont_C27_T2_3,Holobiont,Control_27,27,27,T2,8,3,1251562.5,1.87,0.082772201,506860.3891,14.53283886,4.85392654,53.57768246
14,Holobiont_C27_T2_4,Holobiont,Control_27,27,27,T2,8,4,1062647.406,4.15,0.051587806,811294.5133,9.019597612,4.320471045,71.69689075
15,Holobiont_C27_T2_5,Holobiont,Control_27,27,27,T2,8,5,917407.4636,1.2,0,58551.52865,3.397662701,2.827247326,58.31791444
16,Holobiont_C27_T3_1,Holobiont,Control_27,27,27,T3,11,1,730940.0826,2.64,0.003963823,532499.9239,16.07123107,4.644667544,62.10272548
17,Holobiont_C27_T3_2,Holobiont,Control_27,27,27,T3,11,2,1565029.351,2.02,0.069211721,657901.2214,12.09560599,4.257544414,59.78904523
18,Holobiont_C27_T3_3,Holobiont,Control_27,27,27,T3,11,3,412220.9821,1.8,0.010547485,527923.2823,6.716794781,4.165303244,70.74728632
19,Holobiont_C27_T3_4,Holobiont,Control_27,27,27,T3,11,4,627931.701,4.08,0.008943337,481298.1434,5.344764023,4.725098646,94.76302515
20,Holobiont_C27_T3_5,Holobiont,Control_27,27,27,T3,11,5,1338476.563,1.46,0,618276.1759,5.93444,4.76448,66.76296
21,Holobiont_T32_T0_1,Holobiont,Temperature_32,32,27,T0,1,1,1230218.023,2.94,0.020934203,298361.0921,5.229214286,3.436234739,55.27382001
22,Holobiont_T32_T0_2,Holobiont,Temperature_32,32,27,T0,1,2,1532441.213,4.5,0.087903196,626425.6829,17.38221788,8.784432402,76.50905028
23,Holobiont_T32_T0_3,Holobiont,Temperature_32,32,27,T0,1,3,880219.7802,2.82,0.051739472,579020.5804,7.653921885,4.480456423,36.34861201
24,Holobiont_T32_T0_4,Holobiont,Temperature_32,32,27,T0,1,4,900429.6875,4.36,0,732470.203,10.2438995,4.607496052,31.20603015
25,Holobiont_T32_T0_5,Holobiont,Temperature_32,32,27,T0,1,5,1491975.636,1.43,0.053467384,467775.7357,14.3454461,7.720194237,75.37716115
26,Holobiont_T32_T1_1,Holobiont,Temperature_32,32,30,T1,4,1,1353040.541,2.89,0.005190633,399872.6099,13.4794621,5.571623472,65.42347188
27,Holobiont_T32_T1_2,Holobiont,Temperature_32,32,30,T1,4,2,834375,3.33,0.002502938,591375.8414,8.276158763,4.411447423,74.5342268
28,Holobiont_T32_T1_3,Holobiont,Temperature_32,32,30,T1,4,3,1358284.884,0.88,0.036944602,514676.0798,25.98659901,6.04695274,73.00115976
29,Holobiont_T32_T1_4,Holobiont,Temperature_32,32,30,T1,4,4,1053125,2.02,0.076398005,455155.2843,13.47387629,2.442223978,78.9600654
30,Holobiont_T32_T1_5,Holobiont,Temperature_32,32,30,T1,4,5,745137.0321,1.19,0,0,11.23855851,3.681039894,63.49835106
31,Holobiont_T32_T2_1,Holobiont,Temperature_32,32,32,T2,8,1,781230.0955,1.51,0.57175405,57014.15518,22.34230534,5.78113486,68.27137405
32,Holobiont_T32_T2_2,Holobiont,Temperature_32,32,32,T2,8,2,579604.0076,3.36,0.059281571,509738.1035,11.7301749,3.871739544,51.23604183
33,Holobiont_T32_T2_3,Holobiont,Temperature_32,32,32,T2,8,3,585373.0366,2.12,0.228231105,468875.1343,16.30389395,4.903173157,66.06164043
34,Holobiont_T32_T2_4,Holobiont,Temperature_32,32,32,T2,8,4,360584.1709,3.42,0.00436707,674923.4052,18.0034701,6.391991627,100.0325024
35,Holobiont_T32_T2_5,Holobiont,Temperature_32,32,32,T2,8,5,183795.8916,1.29,0.052890935,638258.8386,15.23344956,2.702153982,35.34265487
36,Holobiont_T32_T3_1,Holobiont,Temperature_32,32,32,T3,11,1,726131.7568,1.13,0,0,42.63645465,6.417950631,54.65798163
37,Holobiont_T32_T3_2,Holobiont,Temperature_32,32,32,T3,11,2,306044.8842,0.9,0.063864774,549499.9749,23.00475693,3.834477612,53.40423454
38,Holobiont_T32_T3_3,Holobiont,Temperature_32,32,32,T3,11,3,141419.4915,0.98,0,592361.3468,19.15573813,2.474897098,41.80253034
39,Holobiont_T32_T3_4,Holobiont,Temperature_32,32,32,T3,11,4,165249.5942,1.28,0.113969324,609866.4232,15.77761017,3.346694915,59.3119322
40,Holobiont_T32_T3_5,Holobiont,Temperature_32,32,32,T3,11,5,290625,1.15,0.117851383,507843.3287,25.01385392,3.722690407,53.82
